Id_Siniestro,Nro_Victimas,Fecha,Franja_Hora,Tipo_Calle,Comuna,Longitud,Latitud,Victima,Acusado,Rol,Sexo,Edad
2016-0130,1,2016-10-04,12,Autopista,1,-58.37910942,-34.62764717,Moto,Cargas,Conductor,Masculino,29
2016-0131,1,2016-10-09,19,Calle,4,-58.39871183,-34.64539318,Peaton,Auto,Peaton,Masculino,35
2016-0132,1,2016-10-10,2,Avenida,3,-58.41036975,-34.62477021,Auto,Pasajeros,Pasajero_Acompañante,Masculino,30
2016-0133,1,2016-10-14,0,Avenida,14,-58.40204698,-34.58342690,Moto,Auto,Conductor,Masculino,41
2016-0134,1,2016-10-23,5,Avenida,8,-58.48935287,-34.67648597,Moto,Objeto Fijo,Conductor,Masculino,25
2016-0135,1,2016-10-24,5,Avenida,14,-58.42260225,-34.56403694,Peaton,,Peaton,Masculino,29
2016-0136,1,2016-10-25,0,Autopista,4,-58.38871,-34.64367,Moto,Cargas,Conductor,,
2016-0137,1,2016-10-25,0,Avenida,11,-58.51537091,-34.59035925,Moto,Moto,Conductor,Masculino,30
2016-0138,1,2016-10-27,20,Avenida,13,-58.45909670,-34.55922742,Bicicleta,Cargas,Ciclista,Femenino,33
2016-0139,1,2016-10-28,23,Avenida,14,-58.42008769,-34.56539579,Moto,Moto,Pasajero_Acompañante,Femenino,35
2016-0140,1,2016-10-31,2,Avenida,13,-58.45566399,-34.56147293,Pasajeros,Pasajeros,Pasajero_Acompañante,Masculino,20
2016-0142,1,2016-11-05,23,Avenida,1,-58.37533517,-34.59276462,Moto,Pasajeros,Conductor,Masculino,46
2016-0143,1,2016-11-06,4,Avenida,8,-58.44451316,-34.68475866,Moto,,Conductor,Masculino,35
2016-0144,1,2016-11-07,12,Avenida,4,-58.35975012,-34.63343907,Peaton,Pasajeros,Peaton,Masculino,83
2016-0145,1,2016-11-07,20,Avenida,13,-58.44523595,-34.55953855,Moto,Auto,Conductor,Masculino,39
2016-0146,1,2016-11-09,20,Avenida,4,-58.39626094,-34.63036565,Peaton,Pasajeros,Peaton,Femenino,29
2016-0147,1,2016-11-16,21,Avenida,1,-58.38896772,-34.61799615,Movil,Pasajeros,Pasajero_Acompañante,Masculino,55
2016-0148,1,2016-11-16,22,Avenida,15,-58.46536113,-34.59484504,Moto,Moto,Conductor,Masculino,
2016-0150,1,2016-11-18,18,Avenida,4,-58.40879146,-34.65273216,Cargas,Cargas,Pasajero_Acompañante,Masculino,41
2016-0151,1,2016-11-18,20,Calle,10,-58.3703,-34.5971,Peaton,,Peaton,,
2016-0152,1,2016-11-23,21,Avenida,7,-58.46451841,-34.64991946,Moto,Auto,Conductor,Masculino,42
2016-0153,1,2016-11-25,15,Avenida,15,-58.42917090,-34.59485488,Peaton,Moto,Peaton,Femenino,83
2016-0154,1,2016-11-26,14,Gral Paz,8,-58.49007772,-34.68251141,Moto,Moto,Conductor,Masculino,38
2016-0155,1,2016-11-26,16,Calle,10,-58.52756365,-34.62772274,Peaton,Auto,Peaton,Femenino,29
2016-0156,1,2016-11-26,19,Avenida,3,-58.40638983,-34.61943202,Moto,Pasajeros,Conductor,Masculino,23
2016-0157,1,2016-12-03,6,Avenida,11,-58.47576807,-34.61740997,Moto,Moto,Conductor,Masculino,23
2016-0159,1,2016-12-04,7,Avenida,8,-58.44451316,-34.68475866,Auto,,Conductor,Masculino,23
2016-0160,1,2016-12-06,5,Autopista,9,-58.51927194,-34.63635787,Cargas,Objeto Fijo,Conductor,Masculino,29
2016-0161,1,2016-12-06,7,Avenida,14,-58.42525456,-34.57866344,Peaton,Pasajeros,Peaton,Masculino,50
2016-0162,1,2016-12-07,5,Avenida,15,-58.45396573,-34.58518167,Peaton,Auto,Peaton,Masculino,38
2016-0163,1,2016-12-10,7,Gral Paz,11,-58.52340614,-34.59798754,Moto,Auto,Conductor,Masculino,23
2016-0164,1,2016-12-11,6,Avenida,4,-58.42323628,-34.64119105,Auto,Auto,Conductor,Masculino,29
2016-0165,1,2016-12-12,8,Avenida,4,-58.36926144,-34.62841919,Bicicleta,Pasajeros,Ciclista,Masculino,37
2016-0168,1,2016-12-13,10,Avenida,4,-58.42323628,-34.64119105,Moto,Auto,Conductor,Masculino,43
2016-0169,1,2016-12-15,15,Avenida,12,-58.47935434,-34.55676497,Moto,Pasajeros,Conductor,Masculino,24
2016-0170,1,2016-12-19,17,Gral Paz,12,-58.50598256,-34.56379980,Moto,Auto,Pasajero_Acompañante,Masculino,21
2016-0171,1,2016-12-25,19,Autopista,1,-58.36607137,-34.62150748,Moto,Moto,Conductor,,
2016-0172,1,2016-12-26,8,Avenida,5,-58.41918902,-34.63174259,Moto,Cargas,Conductor,Masculino,38
2016-0173,1,2016-12-26,19,Avenida,7,-58.46749188,-34.63551751,Moto,Cargas,Conductor,Masculino,35
2016-0174,1,2016-12-27,0,Autopista,7,-58.42032,-34.62794,,,,,
2016-0175,1,2016-12-27,8,Calle,7,-58.46064174,-34.62960517,Peaton,Bicicleta,Peaton,Femenino,
2016-0176,1,2016-12-28,1,Avenida,1,-58.36956186,-34.61232875,Moto,Pasajeros,Conductor,Masculino,28
2016-0177,1,2016-12-29,4,Calle,14,-58.40966671,-34.58788235,Peaton,Auto,Peaton,Femenino,27
2016-0178,1,2016-12-30,16,Calle,3,-58.40288226,-34.61544091,Peaton,Multiple,Peaton,Femenino,7
2017-0001,1,2017-01-02,1,Avenida,11,-58.46594230,-34.61028571,Moto,Cargas,Conductor,Masculino,18
2017-0003,1,2017-01-05,3,Avenida,4,-58.38957669,-34.64410277,Cargas,Cargas,Pasajero_Acompañante,Masculino,33
2017-0007,1,2017-01-11,17,Calle,1,-58.38161660,-34.61529543,Peaton,Multiple,Peaton,Masculino,48
2017-0008,1,2017-01-16,0,Calle,14,-58.43917004,-34.58494351,Moto,Pasajeros,Conductor,Masculino,29
2017-0009,1,2017-01-16,13,Autopista,5,-58.41595919,-34.62743346,Moto,Cargas,Conductor,Masculino,36
2017-0010,1,2017-01-16,16,Avenida,6,-58.43564880,-34.62828656,Moto,Auto,Conductor,Masculino,23
2017-0011,1,2017-01-22,2,Gral Paz,12,-58.50073810,-34.54979510,Moto,Objeto Fijo,Pasajero_Acompañante,Femenino,29
2017-0012,1,2017-01-24,14,Calle,4,-58.40969005,-34.65055290,Moto,Cargas,Conductor,Masculino,30
2017-0013,1,2017-01-27,7,Avenida,4,-58.38972622,-34.65098981,Peaton,Cargas,Peaton,Masculino,4
2017-0014,1,2017-01-28,8,Avenida,12,-58.49185972,-34.55046754,Moto,Multiple,Pasajero_Acompañante,Femenino,22
2017-0015,1,2017-02-02,15,Avenida,2,-58.39293417,-34.59963642,Peaton,Auto,Peaton,Masculino,82
2017-0016,1,2017-02-03,5,Autopista,1,-58.38099494,-34.62288231,Moto,Cargas,Conductor,Masculino,27
2017-0017,1,2017-02-06,8,Avenida,14,-58.42901200,-34.58095431,Moto,Auto,Conductor,Masculino,32
2017-0018,1,2017-02-09,7,Gral Paz,9,-58.50877521,-34.66977709,Moto,Auto,Conductor,Masculino,30
2017-0021,1,2017-02-18,5,Calle,1,-58.38362373,-34.60509972,Moto,Pasajeros,Conductor,Masculino,43
2017-0024,1,2017-02-23,20,Avenida,7,-58.46589308,-34.62955795,Peaton,Pasajeros,Peaton,Masculino,39
2017-0025,1,2017-02-24,17,Avenida,7,-58.43614426,-34.65424640,Moto,,Conductor,Masculino,23
2017-0026,2,2017-02-26,5,Avenida,4,-58.41842777,-34.64979057,Auto,Objeto Fijo,Pasajero_Acompañante,Femenino,23
2017-0026,2,2017-02-26,5,Avenida,4,-58.41842777,-34.64979057,Auto,Objeto Fijo,Conductor,Masculino,19
2017-0027,1,2017-02-26,21,Avenida,1,-58.38332245,-34.63193250,Peaton,Auto,Peaton,Masculino,
2017-0028,1,2017-02-28,9,Avenida,6,-58.45475488,-34.61196327,Peaton,Auto,Peaton,Masculino,87
